time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010450000000	16.233	19.4107	4.55453	2.61362	0.578456	lidar	0.0344918	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	16.1423	19.4601	4.3284	2.62337	0.554403	radar	1.80464	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.945	19.5714	4.34091	2.65119	0.554273	lidar	0.0716589	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.4976	19.9519	4.75153	2.66457	0.534109	radar	9.13802	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.2823	20.0609	4.7562	2.69123	0.534009	lidar	0.0167091	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	15.0298	20.1467	4.78136	2.72509	0.537984	radar	1.30774	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.8068	20.2435	4.7866	2.75191	0.537864	lidar	0.0171829	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.4301	20.4524	5.0338	2.77747	0.536611	radar	1.62505	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1925	20.5403	5.03609	2.80428	0.536564	lidar	0.00252192	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.9128	20.6539	5.12064	2.83241	0.540189	radar	0.335034	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6663	20.7299	5.12319	2.85938	0.540137	lidar	0.00438331	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.4748	20.7135	5.11799	2.90775	0.567678	radar	1.92994	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.2238	20.7707	5.12004	2.93608	0.567622	lidar	0.00191877	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	13.0061	20.8504	5.0916	2.95648	0.562826	radar	1.94417	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.7558	20.8944	5.09136	2.98459	0.562814	lidar	0.00454604	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.3025	21.0686	5.37486	3.00008	0.552676	radar	2.48252	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.0379	21.1026	5.37272	3.02779	0.552748	lidar	0.00318267	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.8706	21.0974	5.27284	3.0589	0.558829	radar	1.3189	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.6099	21.1148	5.27013	3.087	0.558955	lidar	0.00754967	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.3977	21.0603	5.20951	3.12612	0.567646	radar	1.20612	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.1397	21.0603	5.20665	3.15464	0.567762	lidar	0.00560173	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	10.8414	21.0087	5.24613	3.19199	0.572713	radar	3.52915	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.5833	20.9908	5.24186	3.22088	0.57292	lidar	0.0110522	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.1563	21.0799	5.27137	3.22225	0.542537	radar	3.73404	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	9.89641	21.0551	5.26865	3.24952	0.542664	lidar	0.0122035	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	9.68755	21.046	5.18629	3.27155	0.538652	radar	1.58566	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.43699	21.0073	5.17938	3.299	0.539045	lidar	0.0352226	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.23852	20.9998	4.92649	3.31118	0.519001	radar	2.4173	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.0023	20.9536	4.91977	3.3377	0.51942	lidar	0.0330652	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	8.91946	20.8766	4.75892	3.37373	0.528779	radar	2.72763	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.68889	20.8196	4.75876	3.40018	0.528789	lidar	2.39833e-005	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.75003	20.6247	4.47227	3.46295	0.555782	radar	4.54876	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.53597	20.553	4.47541	3.49043	0.555555	lidar	0.0115253	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.30382	20.4751	4.56083	3.5177	0.556818	radar	0.126515	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	8.09076	20.3901	4.56296	3.54527	0.556621	lidar	0.00511197	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.92917	20.3106	4.63553	3.57637	0.563681	radar	3.07341	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.71481	20.213	4.64064	3.60379	0.563134	lidar	0.035676	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.43727	20.1287	4.64509	3.62125	0.553573	radar	0.626457	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	7.22849	20.0211	4.64881	3.64829	0.553124	lidar	0.022197	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	7.00494	19.9443	4.5851	3.66524	0.544084	radar	0.610474	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.80376	19.8294	4.58868	3.69177	0.543612	lidar	0.0230975	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.61279	19.7596	4.5491	3.70909	0.537407	radar	2.51782	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	6.41724	19.6375	4.55357	3.73505	0.53678	lidar	0.0388688	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	6.03465	19.527	4.82628	3.73818	0.52221	radar	2.78507	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.83512	19.3905	4.8276	3.76397	0.52199	lidar	0.0061549	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.71162	19.215	4.74995	3.80432	0.530611	radar	0.604676	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.52242	19.0689	4.753	3.83009	0.530105	lidar	0.0292704	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	5.45103	18.9636	4.45587	3.85986	0.529642	radar	3.88091	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	5.28146	18.8168	4.45873	3.88563	0.52917	lidar	0.0201072	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
